"Curve Name","Curve Length (um)","Average Curvature (um-1)","Curvature Std (um-1)","X-Coordinate (um)","Y-Coordinate (um)","Point Curvature (um-1)","Point Curvature Sign","Red Intensity","Green Intensity","Blue Intensity"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","123.91508373709264","60.080967909564094","0.018106719818726184","1","4121.0","4121.0","4121.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","123.97844722412901","60.095395960968816","0.01847231172568195","1","4121.0","4121.0","4121.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.04123651707891","60.10961437687624","0.018845225039737686","1","4137.0","4137.0","4137.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.1034557759621","60.123624746638534","0.01922556951599072","1","4137.0","4137.0","4137.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.16510916079835","60.13742865960788","0.01961345378049877","1","4242.0","4242.0","4242.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.22620083160743","60.15102770513643","0.020008985008919067","1","4242.0","4242.0","4242.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.28673494840906","60.16442347257635","0.02041226870793915","1","4272.0","4272.0","4272.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.34671567122307","60.177617551279816","0.02082340847093585","1","4625.0","4625.0","4625.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.4061471600692","60.19061153059899","0.021242505621395468","1","4625.0","4625.0","4625.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.46503357496721","60.20340699988604","0.02166965900249404","1","4625.0","4625.0","4625.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.52337907593683","60.21600554849311","0.022104964541005166","1","4687.0","4687.0","4687.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.58118782299788","60.228408765772386","0.022548515013877612","1","4687.0","4687.0","4687.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.6384639761701","60.24061824107601","0.02300039960383857","1","4687.0","4687.0","4687.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.69521169547325","60.252635563756165","0.02346070357080574","1","4876.0","4876.0","4876.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.7514351409271","60.26446232316503","0.023929507800434912","1","4876.0","4876.0","4876.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.80713847255142","60.276100108654745","0.024406888426595115","1","5147.0","5147.0","5147.0"
"CURVE 1","26.2758567630218","0.028533204823969795","0.027883085877438065","124.86232585036596","60.28755050957748","0.0248929162693175","1","5147.0","5147.0","5147.0"
